"Series","Indicator Name","value","value_metadata","year","cty_or_agg","countrycode"
"SE.GEPD.PRIM","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)",90.3,"Needs Improvement","2020-2021","cty","ETH"
"SE.GEPD.PRIM.1","(De Facto) Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)",90.3,"Needs Improvement","2020-2021","cty","ETH"
"SE.GEPD.PRIM.BMP","Proficiency by End of Primary",11.3,"Needs Improvement","2020-2021","cty","ETH"
"SE.GEPD.PRIM.BMP.1","(De Facto) Percent of children proficient in literacy and numeracy by end of primary, as reported by UIS",11.3,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ATTD","Student Attendance",76.6,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ATTD.1","(De Facto) Percent of 4th grade students present during an unannounced visit",76.6,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ATTD.1.F","(De Facto) Percent of 4th grade students present during an unannounced visit - Female",75.2,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ATTD.1.M","(De Facto) Percent of 4th grade students present during an unannounced visit - Male",78.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ATTD.1.R","(De Facto) Percent of 4th grade students present during an unannounced visit - Rural",70.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ATTD.1.U","(De Facto) Percent of 4th grade students present during an unannounced visit - Urban",77.3,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.BFIN","Politics & Bureaucratic Capacity - Financing",4.4,"On Target","2020-2021","cty","ETH"
"SE.PRM.BFIN.1","Financing score; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness in terms of adequacy, efficiency, and equity.",4.4,"On Target","2020-2021","cty","ETH"
"SE.PRM.BFIN.2","(Financing) - Adequacy expressed by the per child spending",5,"On Target","2020-2021","cty","ETH"
"SE.PRM.BFIN.3","(Financing) Efficiency - Expressed by the score from the Public Expenditure and Financial Accountability (PEFA) assessment; where 0 is the lowest possible efficiency and 1 is the highest",3.5,"Caution","2020-2021","cty","ETH"
"SE.PRM.BFIN.4","(Financing) Efficiency - Expressed by the relationship between financing and outcomes; where 0 is the lowest possible efficiency and 1 is the highest",4,"On Target","2020-2021","cty","ETH"
"SE.PRM.BFIN.5","(Financing) - Equity",NA,"N/A","2020-2021","cty","ETH"
"SE.PRM.BIMP","Politics & Bureaucratic Capacity - Impartial Decision-Making",3.2,"Caution","2020-2021","cty","ETH"
"SE.PRM.BIMP.1","Average score for Impartial Decision-Making; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",3.2,"Caution","2020-2021","cty","ETH"
"SE.PRM.BIMP.2","(Impartial Decision-Making) average score for politicized personnel management",2.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.BIMP.3","(Impartial Decision-Making) average score for politicized policy-making",3.4,"Caution","2020-2021","cty","ETH"
"SE.PRM.BIMP.4","(Impartial Decision-Making) average score for politicized policy implementation",2.6,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.BIMP.5","(Impartial Decision-Making) average score for employee unions as facilitators",4.3,"On Target","2020-2021","cty","ETH"
"SE.PRM.BMAC","Politics & Bureaucratic Capacity - Mandates & Accountability",3.8,"Caution","2020-2021","cty","ETH"
"SE.PRM.BMAC.1","Average score for Mandates & Accountability; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",3.8,"Caution","2020-2021","cty","ETH"
"SE.PRM.BMAC.2","(Mandates & Accountability) Average score for coherence",3.6,"Caution","2020-2021","cty","ETH"
"SE.PRM.BMAC.3","(Mandates & Accountability) Average score for transparency",4,"Caution","2020-2021","cty","ETH"
"SE.PRM.BMAC.4","(Mandates & Accountability) Average score for accountability of public officials",3.9,"Caution","2020-2021","cty","ETH"
"SE.PRM.BNLG","Politics & Bureaucratic Capacity - National Learning Goals",3.4,"Caution","2020-2021","cty","ETH"
"SE.PRM.BNLG.1","Average score for National Learning Goals; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",3.4,"Caution","2020-2021","cty","ETH"
"SE.PRM.BNLG.2","(National Learning Goals) Average score for targeting",3.9,"Caution","2020-2021","cty","ETH"
"SE.PRM.BNLG.3","(National Learning Goals) Average score for monitoring",3.5,"Caution","2020-2021","cty","ETH"
"SE.PRM.BNLG.4","(National Learning Goals) Average score for incentives",2.8,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.BNLG.5","(National Learning Goals) Average score for community engagement",3.5,"Caution","2020-2021","cty","ETH"
"SE.PRM.BQBR","Politics & Bureaucratic Capacity - Characteristics of Bureaucracy",3.8,"Caution","2020-2021","cty","ETH"
"SE.PRM.BQBR.1","Average score for Characteristics of Bureaucracy; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",3.8,"Caution","2020-2021","cty","ETH"
"SE.PRM.BQBR.2","(Characteristics of Bureaucracy) average score for knowledge and skills",4.8,"On Target","2020-2021","cty","ETH"
"SE.PRM.BQBR.3","(Characteristics of Bureaucracy) average score for work environment",3.7,"Caution","2020-2021","cty","ETH"
"SE.PRM.BQBR.4","(Characteristics of Bureaucracy) average score for merit",3.8,"Caution","2020-2021","cty","ETH"
"SE.PRM.BQBR.5","(Characteristics of Bureaucracy) average score for motivation and attitudes",3.5,"Caution","2020-2021","cty","ETH"
"SE.PRM.CONT","Teacher Content Knowledge",6.2,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.1","(De Facto) Percent of teachers proficient in the subjects they teach",6.2,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.1.F","(De Facto) Percent of teachers proficient in the subjects they teach - Female",4.7,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.1.M","(De Facto) Percent of teachers proficient in the subjects they teach - Male",7.1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.1.R","(De Facto) Percent of teachers proficient in the subjects they teach - Rural",15.8,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.1.U","(De Facto) Percent of teachers proficient in the subjects they teach - Urban",4.3,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.2","(De Facto) Percent of teachers proficient in the subject of language",4.5,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.2.F","(De Facto) Percent of teachers proficient in the subject of language - Female",2.1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.2.M","(De Facto) Percent of teachers proficient in the subject of language - Male",7.1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.2.R","(De Facto) Percent of teachers proficient in the subject of language - Rural",12.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.2.U","(De Facto) Percent of teachers proficient in the subject of language - Urban",2.6,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.3","(De Facto) Percent of teachers proficient in the subject of mathematics",7.6,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.3.F","(De Facto) Percent of teachers proficient in the subject of mathematics - Female",11.2,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.3.M","(De Facto) Percent of teachers proficient in the subject of mathematics - Male",6,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.3.R","(De Facto) Percent of teachers proficient in the subject of mathematics - Rural",14.2,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.CONT.3.U","(De Facto) Percent of teachers proficient in the subject of mathematics - Urban",6.6,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.EFFT","Teacher Presence",65.5,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.EFFT.1","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit",60.2,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.EFFT.1.F","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Female",61.2,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.EFFT.1.M","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Male",60.4,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.EFFT.1.R","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Rural",64.8,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.EFFT.1.U","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Urban",58.7,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.EFFT.2","(De Facto) Percent of teachers present in their schools during an announced visit",65.5,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.EFFT.2.F","(De Facto) Percent of teachers present in their schools during an announced visit - Female",67.1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.EFFT.2.M","(De Facto) Percent of teachers present in their schools during an announced visit - Male",65.2,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.EFFT.2.R","(De Facto) Percent of teachers present in their schools during an announced visit - Rural",73.5,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.EFFT.2.U","(De Facto) Percent of teachers present in their schools during an announced visit - Urban",63.6,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR","Instructional Leadership",3.9,"Caution","2020-2021","cty","ETH"
"SE.PRM.ILDR.1","(De Facto) Average score for the presence and quality of instructional leadership",3.9,"Caution","2020-2021","cty","ETH"
"SE.PRM.ILDR.1.F","(De Facto) Average score for the presence and quality of instructional leadership - Female",4,"Caution","2020-2021","cty","ETH"
"SE.PRM.ILDR.1.M","(De Facto) Average score for the presence and quality of instructional leadership - Male",3.9,"Caution","2020-2021","cty","ETH"
"SE.PRM.ILDR.1.R","(De Facto) Average score for the presence and quality of instructional leadership - Rural",3.3,"Caution","2020-2021","cty","ETH"
"SE.PRM.ILDR.1.U","(De Facto) Average score for the presence and quality of instructional leadership - Urban",4,"Caution","2020-2021","cty","ETH"
"SE.PRM.ILDR.2","(De Facto) Percent of teachers reporting having had their class observed",83.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.2.F","(De Facto) Percent of teachers reporting having had their class observed - Female",88.1,"Caution","2020-2021","cty","ETH"
"SE.PRM.ILDR.2.M","(De Facto) Percent of teachers reporting having had their class observed - Male",83.7,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.2.R","(De Facto) Percent of teachers reporting having had their class observed - Rural",69.7,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.2.U","(De Facto) Percent of teachers reporting having had their class observed - Urban",86.2,"Caution","2020-2021","cty","ETH"
"SE.PRM.ILDR.3","(De Facto) Percent of teachers reporting that the classroom observation happened recently",82.1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.3.F","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Female",85,"Caution","2020-2021","cty","ETH"
"SE.PRM.ILDR.3.M","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Male",82.1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.3.R","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Rural",69.3,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.3.U","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Urban",84.1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.4","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation",64.8,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.4.F","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Female",61.1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.4.M","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Male",65,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.4.R","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Rural",44,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.4.U","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Urban",67.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.5","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes",21.5,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.5.F","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Female",6.8,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.5.M","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Male",22.1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.5.R","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Rural",21.1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.5.U","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Urban",21.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.6","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion",77.5,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.6.F","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Female",82.8,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.6.M","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Male",77.4,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.6.R","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Rural",58.8,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.6.U","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Urban",80.4,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.7","(De Facto) Percent of teachers reporting having lesson plans",28.8,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.7.F","(De Facto) Percent of teachers reporting having lesson plans - Female",18,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.7.M","(De Facto) Percent of teachers reporting having lesson plans - Male",29.4,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.7.R","(De Facto) Percent of teachers reporting having lesson plans - Rural",43.7,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.7.U","(De Facto) Percent of teachers reporting having lesson plans - Urban",26.6,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.8","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher)",75.6,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.8.F","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Female",75.5,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.8.M","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Male",76,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.8.R","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Rural",65.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ILDR.8.U","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Urban",77,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.IMON","Policy Lever (Inputs & Infrastructure) - Monitoring",3.3,"Caution","2020-2021","cty","ETH"
"SE.PRM.IMON.1","(De Facto) Percent of schools that report there is someone monitoring that basic inputs are available to students",0.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.IMON.10","(De Jure) Number of basic infrastructure features clearly articulated as needing to be monitored",NA,"N/A","2020-2021","cty","ETH"
"SE.PRM.IMON.2","(De Facto) Percent of schools that report that parents or community members are involved in the monitoring of availability of basic inputs",0.4,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.IMON.3","(De Facto) Percent of schools that report that there is an inventory to monitor availability of basic inputs",1.2,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.IMON.4","(De Facto) Percent of schools that report there is someone monitoring that basic infrastructure is available",0.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.IMON.5","(De Facto) Percent of schools that report that parents or community members are involved in the monitoring of availability of basic infrastructure",0.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.IMON.6","(De Facto) Percent of schools that report that there is an inventory to monitor availability of basic infrastructure",0.8,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.IMON.7","(De Jure) Is the responsibility of monitoring basic inputs clearly articulated in the policies?",NA,"N/A","2020-2021","cty","ETH"
"SE.PRM.IMON.8","(De Jure) Number of basic inputs clearly articulated as needing to be monitored",NA,"N/A","2020-2021","cty","ETH"
"SE.PRM.IMON.9","(De Jure) Is the responsibility of monitoring basic infrastructure clearly articulated in the policies?",NA,"N/A","2020-2021","cty","ETH"
"SE.PRM.IMON.DF","(De Facto) Policy Lever (Inputs & Infrastructure) - Monitoring",3.3,"Caution","2020-2021","cty","ETH"
"SE.PRM.IMON.DJ","(De Jure) Policy Lever (Inputs & Infrastructure) - Monitoring",NA,"N/A","2020-2021","cty","ETH"
"SE.PRM.INFR","Basic Infrastructure",2.7,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.1","(De Facto) Average number of infrastructure aspects present in schools",2.7,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.1.R","(De Facto) Average number of infrastructure aspects present in schools - Rural",1.4,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.1.U","(De Facto) Average number of infrastructure aspects present in schools - Urban",2.8,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.2","(De Facto) Percent of schools with drinking water",69.6,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.2.R","(De Facto) Percent of schools with drinking water - Rural",36.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.2.U","(De Facto) Percent of schools with drinking water - Urban",74.8,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.3","(De Facto) Percent of schools with functioning toilets",41.3,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.3.R","(De Facto) Percent of schools with functioning toilets - Rural",17.5,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.3.U","(De Facto) Percent of schools with functioning toilets - Urban",45.1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.4","(De Facto) Percent of schools with access to electricity",70.3,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.4.R","(De Facto) Percent of schools with access to electricity - Rural",21.2,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.4.U","(De Facto) Percent of schools with access to electricity - Urban",78,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.5","(De Facto) Percent of schools with access to internet",15.8,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.5.R","(De Facto) Percent of schools with access to internet - Rural",6,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.5.U","(De Facto) Percent of schools with access to internet - Urban",16.4,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.6","(De Facto) Percent of schools accessible to children with special needs",67.7,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.6.R","(De Facto) Percent of schools accessible to children with special needs - Rural",57.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INFR.6.U","(De Facto) Percent of schools accessible to children with special needs - Urban",69.4,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INPT","Basic Inputs",3.2,"Caution","2020-2021","cty","ETH"
"SE.PRM.INPT.1","(De Facto) Average number of classroom inputs in classrooms",3.2,"Caution","2020-2021","cty","ETH"
"SE.PRM.INPT.1.R","(De Facto) Average number of classroom inputs in classrooms - Rural",2.5,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INPT.1.U","(De Facto) Average number of classroom inputs in classrooms - Urban",3.2,"Caution","2020-2021","cty","ETH"
"SE.PRM.INPT.2","(De Facto) Percent of classrooms with a functional blackboard and chalk",90.5,"On Target","2020-2021","cty","ETH"
"SE.PRM.INPT.2.R","(De Facto) Percent of classrooms with a functional blackboard and chalk - Rural",83,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INPT.2.U","(De Facto) Percent of classrooms with a functional blackboard and chalk - Urban",NA,"N/A","2020-2021","cty","ETH"
"SE.PRM.INPT.3","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books",59.1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INPT.3.R","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Rural",44,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INPT.3.U","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Urban",60.4,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INPT.4","(De Facto) Percent of classrooms with basic classroom furniture",96.7,"On Target","2020-2021","cty","ETH"
"SE.PRM.INPT.4.R","(De Facto) Percent of classrooms with basic classroom furniture - Rural",85.6,"Caution","2020-2021","cty","ETH"
"SE.PRM.INPT.4.U","(De Facto) Percent of classrooms with basic classroom furniture - Urban",99,"On Target","2020-2021","cty","ETH"
"SE.PRM.INPT.5","(De Facto) Percent of schools with access to EdTech",56.3,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INPT.5.R","(De Facto) Percent of schools with access to EdTech - Rural",13.9,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.INPT.5.U","(De Facto) Percent of schools with access to EdTech - Urban",62.7,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ISTD","Policy Lever (Inputs & Infrastructure) - Standards",4.5,"On Target","2020-2021","cty","ETH"
"SE.PRM.ISTD.1","(De Jure) Is there a policy in place to require that students have access to the prescribed textbooks?",1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ISTD.10","(De Facto) Do you know if there is a policy in place to require that schools have access to drinking water?",89.3,"On Target","2020-2021","cty","ETH"
"SE.PRM.ISTD.11","(De Jure) Is there a policy in place to require that schools have functioning toilets?",1,"Needs Improvement","2020-2021","cty","ETH"
"SE.PRM.ISTD.12","(De Facto) Do you know if there is a policy in place to require that schools have functioning toilets?",97.8,"On Target","2020-2021","cty","ETH"
